Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-02-28,69917.140625,70585.74716103142,69535.07974726775,69630.59496670081,11795859
2024-02-29,70108.1640625,70108.1640625,68770.9511239782,69344.04238334468,21176403
2024-03-04,71540.890625,71636.40583277703,70681.25375500668,70967.79937833779,23210474
2024-03-05,70394.71875,71445.38619402985,70394.71875,71254.35574966078,19505125
2024-03-06,69630.609375,70203.70081018518,69439.57889660494,69917.1550925926,21547905
2024-03-07,68961.9921875,70012.65965850069,68961.9921875,69821.62920922783,14516963
2024-03-08,70012.640625,70108.15582366985,69344.03423431105,69535.06463165075,19271349
2024-03-11,69153.0078125,69821.61424162638,69057.49260833909,69630.58383330455,9740504
2024-03-12,70012.640625,70203.6710223397,68866.4582409618,69344.03423431105,13011654
2024-03-13,70776.78125,70776.78125,70203.68990384616,70394.72035256411,15243134
2024-03-14,70967.8046875,71158.83511734522,70299.19818304172,71063.3199024226,22545539
2024-03-15,69057.5,70394.71300138313,69057.5,70108.1673582296,22580555
2024-03-18,69535.0859375,69726.11639337226,69248.54025369162,69344.05548162776,11520348
2024-03-19,69535.0859375,69726.11639337226,68484.41843020261,69057.50979781937,15376066
2024-03-20,73451.1953125,73737.74093790638,70108.16301609232,70394.7086414987,50106297
2024-03-21,75743.578125,75743.578125,74215.33443017025,75648.06289407314,44569799
2024-03-22,75361.5,76316.65209125476,74310.83269961977,76030.10646387833,26724761
2024-03-25,74692.8984375,76221.14188379156,74310.83757592711,76030.11145300511,18703996
2024-03-26,76316.6484375,76507.67884660512,75648.04200563203,76125.61802839486,30551494
2024-03-27,76221.125,76412.15538847118,75648.03383458647,75648.03383458647,17424595
2024-03-28,77527.0078125,77718.90634668936,75991.81953898515,76183.7180731745,25084812
2024-03-29,79062.203125,79158.15240063713,77622.96399044296,77910.81181735436,27126366
2024-04-01,78678.3984375,79925.73890053353,78678.3984375,79829.78963414633,20116513
2024-04-02,81556.8828125,81556.8828125,79541.94806066177,79541.94806066177,37077944
2024-04-03,80693.3359375,81556.87936608205,80117.64031844531,80885.2344771849,30493347
2024-04-04,81844.7265625,82036.62510074736,80885.23387126319,81748.77729337632,25248934
2024-04-05,81077.1328125,81556.87916050295,80405.48792529585,81077.1328125,18883752
2024-04-08,81077.1328125,82516.37185650888,81077.1328125,81748.77769970414,18953232
2024-04-09,80213.5859375,81460.92638868123,79733.83961012261,81077.12932677931,23725956
2024-04-11,80693.3359375,81269.0315565547,79158.14762002081,79829.79250891796,25538009
2024-04-12,80309.546875,81460.9382280466,79829.80047789725,81269.0396692055,17061770
2024-04-15,78870.2890625,79829.78163017031,77910.79649482969,79541.93385986923,26663772
2024-04-16,76759.421875,78006.76248046875,76183.7262109375,77910.813203125,31949845
2024-04-17,75703.9765625,77527.01275348543,75703.9765625,77431.06348027567,22611631
2024-04-18,76375.609375,76855.35566504397,75128.26902088568,75608.01531092965,21370190
2024-04-19,74456.640625,75512.0826957152,73209.29999597293,75128.28557909149,31317563
2024-04-22,73017.4140625,74360.70420294021,72057.92110504271,74264.75490719448,30469477
2024-04-23,72441.6953125,73689.0357615894,72441.6953125,73305.23870033112,18717699
2024-04-24,75416.125,75608.02353689568,74072.83524173028,74360.68304707379,22166150
2024-04-25,73209.296875,74360.68817578637,73209.296875,74168.7896256553,15549134
2024-04-26,73593.0859375,74744.4771125326,73401.1874083279,74648.52784794655,12755629
2024-04-29,73593.0859375,74456.62931877444,73113.33961456975,74264.73078960234,14664474
2024-04-30,74360.6875,75320.18024193548,73497.14403225806,73880.94112903226,19007007
2024-05-02,74840.4375,75416.13317307693,74168.79254807693,74456.64038461538,18900640
2024-05-03,74456.640625,75799.930533183,74360.69134584407,75799.930533183,13151889
2024-05-07,78006.75,78006.75,76183.71402214022,76375.61254612546,26238868
2024-05-08,78006.75,78102.69926199262,77239.15590405904,77527.0036900369,13089576
2024-05-09,76471.5625,78198.6492314931,76471.5625,77814.85218005019,18759935
